Date,MEDATA.Death,MEDATA.DeathIncrease
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,1,1
2020-3-28,1,0
2020-3-29,3,2
2020-3-30,3,0
2020-3-31,5,2
2020-4-1,7,2
2020-4-2,7,0
2020-4-3,9,2
2020-4-4,10,1
2020-4-5,10,0
2020-4-6,10,0
2020-4-7,12,2
2020-4-8,14,2
2020-4-9,16,2
2020-4-10,17,1
2020-4-11,19,2
2020-4-12,19,0
2020-4-13,19,0
2020-4-14,20,1
2020-4-15,24,4
2020-4-16,27,3
2020-4-17,29,2
2020-4-18,32,3
2020-4-19,34,2
2020-4-20,35,1
2020-4-21,36,1
2020-4-22,39,3
2020-4-23,44,5
2020-4-24,47,3
2020-4-25,50,3
2020-4-26,50,0
2020-4-27,51,1
2020-4-28,51,0
2020-4-29,52,1
2020-4-30,53,1
2020-5-1,55,2
2020-5-2,56,1
2020-5-3,57,1
2020-5-4,57,0
2020-5-5,61,4
2020-5-6,62,1
2020-5-7,62,0
2020-5-8,63,1
2020-5-9,64,1
2020-5-10,64,0
2020-5-11,65,1
2020-5-12,65,0
2020-5-13,66,1
2020-5-14,69,3
2020-5-15,69,0
2020-5-16,70,1
2020-5-17,70,0
2020-5-18,71,1
2020-5-19,73,2
2020-5-20,73,0
2020-5-21,73,0
2020-5-22,75,2
2020-5-23,77,2
2020-5-24,78,1
2020-5-25,78,0
2020-5-26,79,1
2020-5-27,81,2
2020-5-28,84,3
2020-5-29,85,1
2020-5-30,89,4
2020-5-31,89,0
2020-6-1,89,0
2020-6-2,94,5
2020-6-3,95,1
2020-6-4,95,0
2020-6-5,98,3
2020-6-6,98,0
2020-6-7,99,1
2020-6-8,99,0
2020-6-9,100,1
2020-6-10,100,0
2020-6-11,100,0
2020-6-12,100,0
2020-6-13,100,0
2020-6-14,100,0
2020-6-15,101,1
2020-6-16,101,0
2020-6-17,102,1
2020-6-18,102,0
2020-6-19,102,0
2020-6-20,102,0
2020-6-21,102,0
2020-6-22,102,0
2020-6-23,102,0
2020-6-24,103,1
2020-6-25,103,0
2020-6-26,103,0
2020-6-27,104,1
2020-6-28,104,0
2020-6-29,105,1
2020-6-30,105,0
2020-7-1,105,0
2020-7-2,105,0
2020-7-3,105,0
2020-7-4,107,2
2020-7-5,109,2
2020-7-6,109,0
2020-7-7,110,1
2020-7-8,110,0
2020-7-9,111,1
2020-7-10,111,0
2020-7-11,112,1
2020-7-12,114,2
2020-7-13,114,0
2020-7-14,114,0
2020-7-15,114,0
2020-7-16,114,0
2020-7-17,115,1
2020-7-18,117,2
2020-7-19,117,0
2020-7-20,117,0
2020-7-21,118,1
2020-7-22,118,0
2020-7-23,118,0
2020-7-24,118,0
2020-7-25,119,1
2020-7-26,119,0
2020-7-27,119,0
2020-7-28,121,2
2020-7-29,121,0
2020-7-30,122,1
2020-7-31,123,1
2020-8-1,123,0
2020-8-2,123,0
2020-8-3,124,1
2020-8-4,123,0
2020-8-5,124,1
2020-8-6,124,0
2020-8-7,124,0
2020-8-8,125,1
2020-8-9,125,0
2020-8-10,125,0
2020-8-11,126,1
2020-8-12,126,0
2020-8-13,126,0
2020-8-14,126,0
2020-8-15,127,1
2020-8-16,127,0
2020-8-17,127,0
2020-8-18,127,0
2020-8-19,127,0
2020-8-20,128,1
2020-8-21,129,1
2020-8-22,130,1
2020-8-23,131,1
2020-8-24,131,0
2020-8-25,131,0
2020-8-26,132,1
2020-8-27,132,0
2020-8-28,132,0
2020-8-29,132,0
2020-8-30,132,0
2020-8-31,132,0
2020-9-1,132,0
2020-9-2,133,1
2020-9-3,133,0
2020-9-4,134,1
2020-9-5,134,0
2020-9-6,134,0
2020-9-7,134,0
2020-9-8,134,0
2020-9-9,134,0
2020-9-10,134,0
2020-9-11,134,0
2020-9-12,135,1
2020-9-13,136,1
2020-9-14,136,0
2020-9-15,137,1
2020-9-16,138,1
2020-9-17,138,0
2020-9-18,138,0
2020-9-19,139,1
2020-9-20,139,0
2020-9-21,140,1
2020-9-22,140,0
2020-9-23,140,0
2020-9-24,140,0
2020-9-25,140,0
2020-9-26,140,0
2020-9-27,140,0
2020-9-28,140,0
2020-9-29,141,1
2020-9-30,141,0
2020-10-1,142,1
2020-10-2,142,0
2020-10-3,142,0
2020-10-4,142,0
2020-10-5,142,0
2020-10-6,142,0
2020-10-7,142,0
2020-10-8,142,0
2020-10-9,143,1
2020-10-10,143,0
2020-10-11,143,0
2020-10-12,143,0
2020-10-13,143,0
2020-10-14,143,0
2020-10-15,144,1
2020-10-16,145,1
2020-10-17,146,1
2020-10-18,146,0
2020-10-19,146,0
2020-10-20,146,0
2020-10-21,146,0
2020-10-22,146,0
2020-10-23,146,0
2020-10-24,146,0
2020-10-25,146,0
2020-10-26,146,0
2020-10-27,146,0
2020-10-28,146,0
2020-10-29,146,0
2020-10-30,146,0
2020-10-31,147,1
2020-11-1,147,0
2020-11-2,148,1
2020-11-3,148,0
2020-11-4,150,2
2020-11-5,150,0
2020-11-6,150,0
2020-11-7,152,2
2020-11-8,152,0
2020-11-9,153,1
2020-11-10,156,3
2020-11-11,158,2
2020-11-12,159,1
2020-11-13,162,3
2020-11-14,163,1
2020-11-15,165,2
2020-11-16,165,0
2020-11-17,166,1
2020-11-18,170,4
2020-11-19,171,1
2020-11-20,173,2
2020-11-21,174,1
2020-11-22,176,2
2020-11-23,177,1
2020-11-24,189,12
2020-11-25,190,1
2020-11-26,190,0
2020-11-27,190,0
2020-11-28,191,1
2020-11-29,191,0
2020-11-30,194,3
2020-12-1,214,20
2020-12-2,218,4
2020-12-3,220,2
2020-12-4,224,4
2020-12-5,227,3
2020-12-6,227,0
2020-12-7,227,0
2020-12-8,239,12
2020-12-9,246,7
2020-12-10,246,0
2020-12-11,250,4
2020-12-12,257,7
2020-12-13,257,0
2020-12-14,259,2
2020-12-15,265,6
2020-12-16,267,2
2020-12-17,276,9
2020-12-18,281,5
2020-12-19,292,11
2020-12-20,292,0
2020-12-21,293,1
2020-12-22,303,10
2020-12-23,311,8
2020-12-24,317,6
2020-12-25,319,2
2020-12-26,319,0
2020-12-27,323,4
2020-12-28,326,3
2020-12-29,333,7
2020-12-30,334,1
2020-12-31,347,13
2021-1-1,347,0
2021-1-2,358,11
2021-1-3,359,1
2021-1-4,360,1
2021-1-5,369,9
2021-1-6,372,3
2021-1-7,385,13
2021-1-8,426,41
2021-1-9,432,6
2021-1-10,432,0
2021-1-11,438,6
2021-1-12,449,11
2021-1-13,453,4
2021-1-14,461,8
2021-1-15,477,16
2021-1-16,507,30
2021-1-17,511,4
2021-1-18,514,3
2021-1-19,519,5
2021-1-20,530,11
2021-1-21,536,6
2021-1-22,540,4
2021-1-23,544,4
2021-1-24,544,0
2021-1-25,547,3
2021-1-26,558,11
2021-1-27,562,4
2021-1-28,567,5
2021-1-29,570,3
2021-1-30,590,20
2021-1-31,590,0
2021-2-1,595,5
2021-2-2,618,23
2021-2-3,627,9
2021-2-4,630,3
2021-2-5,632,2
2021-2-6,634,2
2021-2-7,635,1
2021-2-8,636,1
2021-2-9,639,3
2021-2-10,641,2
2021-2-11,641,0
2021-2-12,643,2
2021-2-13,647,4
2021-2-14,649,2
2021-2-15,649,0
2021-2-16,651,2
2021-2-17,654,3
2021-2-18,655,1
2021-2-19,656,1
2021-2-20,658,2
2021-2-21,658,0
2021-2-22,658,0
2021-2-23,660,2
2021-2-24,677,17
2021-2-25,701,24
2021-2-26,701,0
2021-2-27,702,1
2021-2-28,703,1
2021-3-1,703,0
2021-3-2,703,0
2021-3-3,705,2
2021-3-4,705,0
2021-3-5,704,0
2021-3-6,704,0
2021-3-7,706,2
