Date,HIDATA.Death,HIDATA.DeathConfirmed
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,1,0
2020-4-2,1,0
2020-4-3,2,0
2020-4-4,3,0
2020-4-5,4,0
2020-4-6,4,0
2020-4-7,5,0
2020-4-8,5,0
2020-4-9,5,0
2020-4-10,6,0
2020-4-11,8,0
2020-4-12,8,0
2020-4-13,9,0
2020-4-14,9,0
2020-4-15,9,0
2020-4-16,9,0
2020-4-17,9,0
2020-4-18,9,0
2020-4-19,9,0
2020-4-20,10,0
2020-4-21,10,0
2020-4-22,12,0
2020-4-23,12,0
2020-4-24,12,0
2020-4-25,13,0
2020-4-26,14,0
2020-4-27,14,0
2020-4-28,16,0
2020-4-29,16,0
2020-4-30,16,0
2020-5-1,16,0
2020-5-2,16,0
2020-5-3,16,0
2020-5-4,17,0
2020-5-5,17,0
2020-5-6,17,0
2020-5-7,17,0
2020-5-8,17,0
2020-5-9,17,0
2020-5-10,17,0
2020-5-11,17,0
2020-5-12,17,0
2020-5-13,17,0
2020-5-14,17,0
2020-5-15,17,0
2020-5-16,17,0
2020-5-17,17,0
2020-5-18,17,0
2020-5-19,17,0
2020-5-20,17,0
2020-5-21,17,0
2020-5-22,17,0
2020-5-23,17,0
2020-5-24,17,0
2020-5-25,17,0
2020-5-26,17,0
2020-5-27,17,0
2020-5-28,17,0
2020-5-29,17,0
2020-5-30,17,0
2020-5-31,17,0
2020-6-1,17,0
2020-6-2,17,0
2020-6-3,17,0
2020-6-4,17,0
2020-6-5,17,0
2020-6-6,17,0
2020-6-7,17,0
2020-6-8,17,0
2020-6-9,17,0
2020-6-10,17,0
2020-6-11,17,0
2020-6-12,17,0
2020-6-13,17,0
2020-6-14,17,0
2020-6-15,17,0
2020-6-16,17,0
2020-6-17,17,0
2020-6-18,17,0
2020-6-19,17,0
2020-6-20,17,0
2020-6-21,17,0
2020-6-22,17,0
2020-6-23,17,0
2020-6-24,17,0
2020-6-25,17,0
2020-6-26,17,0
2020-6-27,17,0
2020-6-28,18,0
2020-6-29,18,0
2020-6-30,18,0
2020-7-1,18,0
2020-7-2,18,0
2020-7-3,18,0
2020-7-4,19,0
2020-7-5,19,0
2020-7-6,19,0
2020-7-7,19,0
2020-7-8,19,0
2020-7-9,19,0
2020-7-10,19,0
2020-7-11,19,0
2020-7-12,19,0
2020-7-13,19,0
2020-7-14,22,0
2020-7-15,22,0
2020-7-16,22,0
2020-7-17,22,0
2020-7-18,23,0
2020-7-19,24,0
2020-7-20,24,0
2020-7-21,24,0
2020-7-22,24,0
2020-7-23,25,0
2020-7-24,26,0
2020-7-25,26,0
2020-7-26,26,0
2020-7-27,26,0
2020-7-28,26,0
2020-7-29,26,0
2020-7-30,26,0
2020-7-31,26,0
2020-8-1,26,0
2020-8-2,26,0
2020-8-3,26,0
2020-8-4,26,0
2020-8-5,27,0
2020-8-6,27,0
2020-8-7,29,0
2020-8-8,31,0
2020-8-9,31,0
2020-8-10,31,0
2020-8-11,34,0
2020-8-12,38,0
2020-8-13,40,0
2020-8-14,40,0
2020-8-15,40,0
2020-8-16,40,0
2020-8-17,40,0
2020-8-18,40,0
2020-8-19,42,0
2020-8-20,45,0
2020-8-21,45,0
2020-8-22,46,0
2020-8-23,47,0
2020-8-24,47,0
2020-8-25,49,0
2020-8-26,49,0
2020-8-27,51,0
2020-8-28,55,0
2020-8-29,59,0
2020-8-30,62,0
2020-8-31,63,0
2020-9-1,70,0
2020-9-2,74,0
2020-9-3,75,0
2020-9-4,79,0
2020-9-5,81,0
2020-9-6,84,0
2020-9-7,85,0
2020-9-8,86,0
2020-9-9,88,0
2020-9-10,91,0
2020-9-11,94,0
2020-9-12,96,0
2020-9-13,97,0
2020-9-14,99,0
2020-9-15,99,0
2020-9-16,100,0
2020-9-17,103,0
2020-9-18,107,0
2020-9-19,120,0
2020-9-20,120,0
2020-9-21,120,0
2020-9-22,120,0
2020-9-23,120,0
2020-9-24,122,0
2020-9-25,124,0
2020-9-26,127,0
2020-9-27,131,0
2020-9-28,132,0
2020-9-29,132,0
2020-9-30,132,0
2020-10-1,136,0
2020-10-2,139,0
2020-10-3,142,0
2020-10-4,153,0
2020-10-5,156,0
2020-10-6,157,0
2020-10-7,160,0
2020-10-8,163,0
2020-10-9,164,0
2020-10-10,166,0
2020-10-11,168,0
2020-10-12,169,0
2020-10-13,169,0
2020-10-14,173,0
2020-10-15,183,0
2020-10-16,184,0
2020-10-17,185,0
2020-10-18,186,0
2020-10-19,187,0
2020-10-20,187,0
2020-10-21,189,0
2020-10-22,203,0
2020-10-23,206,0
2020-10-24,209,0
2020-10-25,212,0
2020-10-26,212,0
2020-10-27,212,0
2020-10-28,215,0
2020-10-29,213,0
2020-10-30,215,0
2020-10-31,216,0
2020-11-1,219,0
2020-11-2,219,0
2020-11-3,219,0
