Date,ORDATA.Death,ORDATA.DeathConfirmed
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,3,0
2020-3-19,3,0
2020-3-20,3,0
2020-3-21,3,0
2020-3-22,4,0
2020-3-23,5,0
2020-3-24,8,0
2020-3-25,8,0
2020-3-26,11,0
2020-3-27,12,0
2020-3-28,13,0
2020-3-29,13,0
2020-3-30,16,0
2020-3-31,18,0
2020-4-1,18,0
2020-4-2,21,0
2020-4-3,22,0
2020-4-4,26,0
2020-4-5,27,0
2020-4-6,27,0
2020-4-7,33,0
2020-4-8,33,0
2020-4-9,44,0
2020-4-10,44,0
2020-4-11,48,0
2020-4-12,52,0
2020-4-13,53,0
2020-4-14,55,0
2020-4-15,58,0
2020-4-16,64,0
2020-4-17,70,0
2020-4-18,72,0
2020-4-19,74,0
2020-4-20,75,0
2020-4-21,78,0
2020-4-22,78,0
2020-4-23,83,0
2020-4-24,86,0
2020-4-25,87,0
2020-4-26,91,0
2020-4-27,92,0
2020-4-28,92,0
2020-4-29,101,0
2020-4-30,103,0
2020-5-1,104,0
2020-5-2,109,0
2020-5-3,109,0
2020-5-4,109,0
2020-5-5,113,0
2020-5-6,115,0
2020-5-7,121,0
2020-5-8,124,0
2020-5-9,127,0
2020-5-10,127,0
2020-5-11,130,0
2020-5-12,130,0
2020-5-13,134,0
2020-5-14,137,0
2020-5-15,137,0
2020-5-16,137,0
2020-5-17,137,0
2020-5-18,138,0
2020-5-19,140,0
2020-5-20,144,0
2020-5-21,145,0
2020-5-22,147,0
2020-5-23,147,0
2020-5-24,148,0
2020-5-25,148,0
2020-5-26,148,0
2020-5-27,148,0
2020-5-28,151,0
2020-5-29,151,0
2020-5-30,153,0
2020-5-31,153,0
2020-6-1,154,0
2020-6-2,157,0
2020-6-3,159,0
2020-6-4,159,0
2020-6-5,161,0
2020-6-6,163,0
2020-6-7,164,0
2020-6-8,164,0
2020-6-9,169,0
2020-6-10,169,0
2020-6-11,171,0
2020-6-12,173,0
2020-6-13,174,0
2020-6-14,176,0
2020-6-15,180,0
2020-6-16,182,0
2020-6-17,183,0
2020-6-18,187,0
2020-6-19,188,0
2020-6-20,189,0
2020-6-21,190,0
2020-6-22,192,0
2020-6-23,192,0
2020-6-24,195,0
2020-6-25,197,0
2020-6-26,202,0
2020-6-27,202,0
2020-6-28,202,0
2020-6-29,204,0
2020-6-30,207,0
2020-7-1,208,0
2020-7-2,209,0
2020-7-3,209,0
2020-7-4,213,0
2020-7-5,215,0
2020-7-6,215,0
2020-7-7,220,0
2020-7-8,224,0
2020-7-9,230,0
2020-7-10,232,0
2020-7-11,232,0
2020-7-12,234,0
2020-7-13,237,0
2020-7-14,244,0
2020-7-15,247,0
2020-7-16,249,0
2020-7-17,254,0
2020-7-18,257,0
2020-7-19,260,0
2020-7-20,262,0
2020-7-21,269,0
2020-7-22,269,0
2020-7-23,273,0
2020-7-24,282,0
2020-7-25,286,0
2020-7-26,289,0
2020-7-27,289,0
2020-7-28,303,0
2020-7-29,311,0
2020-7-30,316,0
2020-7-31,322,0
2020-8-1,325,0
2020-8-2,326,0
2020-8-3,328,0
2020-8-4,333,0
2020-8-5,338,0
2020-8-6,339,0
2020-8-7,348,0
2020-8-8,355,0
2020-8-9,356,0
2020-8-10,357,0
2020-8-11,368,0
2020-8-12,375,0
2020-8-13,383,0
2020-8-14,385,0
2020-8-15,386,0
2020-8-16,388,0
2020-8-17,388,0
2020-8-18,397,0
2020-8-19,408,0
2020-8-20,412,0
2020-8-21,414,0
2020-8-22,417,0
2020-8-23,417,0
2020-8-24,420,0
2020-8-25,428,0
2020-8-26,433,0
2020-8-27,438,0
2020-8-28,447,0
2020-8-29,454,0
2020-8-30,458,0
2020-8-31,459,0
2020-9-1,465,0
2020-9-2,468,0
2020-9-3,470,0
2020-9-4,475,0
2020-9-5,480,0
2020-9-6,481,0
2020-9-7,482,0
2020-9-8,486,0
2020-9-9,494,0
2020-9-10,497,0
2020-9-11,499,0
2020-9-12,505,0
2020-9-13,509,0
2020-9-14,511,0
2020-9-15,519,0
2020-9-16,521,0
2020-9-17,521,0
2020-9-18,521,0
2020-9-19,525,0
2020-9-20,526,0
2020-9-21,529,0
2020-9-22,532,0
2020-9-23,538,0
2020-9-24,539,0
2020-9-25,542,0
2020-9-26,546,0
2020-9-27,547,0
2020-9-28,547,0
2020-9-29,555,0
2020-9-30,559,0
2020-10-1,560,0
2020-10-2,563,0
2020-10-3,571,0
2020-10-4,572,0
2020-10-5,572,0
2020-10-6,581,0
2020-10-7,583,0
2020-10-8,594,0
2020-10-9,597,0
2020-10-10,599,0
2020-10-11,599,0
2020-10-12,599,0
2020-10-13,605,0
2020-10-14,608,0
2020-10-15,611,0
2020-10-16,617,0
2020-10-17,620,0
2020-10-18,620,0
2020-10-19,628,0
2020-10-20,633,0
2020-10-21,635,0
2020-10-22,646,0
2020-10-23,649,0
2020-10-24,653,0
2020-10-25,653,0
2020-10-26,655,0
2020-10-27,664,0
2020-10-28,671,0
2020-10-29,673,0
