Date,TXDATA.TotalTestResults,TXDATA.TotalTestResultsInc
2020-3-3,6,0
2020-3-4,20,14
2020-3-5,950,930
2020-3-6,2236,1286
2020-3-7,2260,24
2020-3-8,2268,8
2020-3-9,2286,18
2020-3-10,2336,50
2020-3-11,2471,135
2020-3-12,2776,305
2020-3-13,3431,655
2020-3-14,4391,960
2020-3-15,4921,530
2020-3-16,5496,575
2020-3-17,8102,2606
2020-3-18,11401,3299
2020-3-19,15457,4056
2020-3-20,20422,4965
2020-3-21,25105,4683
2020-3-22,27243,2138
2020-3-23,29079,1836
2020-3-24,35156,6077
2020-3-25,41875,6719
2020-3-26,48646,6771
2020-3-27,55851,7205
2020-3-28,64146,8295
2020-3-29,67988,3842
2020-3-30,70793,2805
2020-3-31,78220,7427
2020-4-1,86329,8109
2020-4-2,95304,8975
2020-4-3,104371,9067
2020-4-4,113941,9570
2020-4-5,118866,4925
2020-4-6,125568,6702
2020-4-7,135703,10135
2020-4-8,146477,10774
2020-4-9,156125,9648
2020-4-10,166141,10016
2020-4-11,176457,10316
2020-4-12,180831,4374
2020-4-13,183014,2183
2020-4-14,192401,9387
2020-4-15,202274,9873
2020-4-16,214016,11742
2020-4-17,226663,12647
2020-4-18,239516,12853
2020-4-19,245830,6314
2020-4-20,249192,3362
2020-4-21,262959,13767
2020-4-22,275792,12833
2020-4-23,288061,12269
2020-4-24,302820,14759
2020-4-25,318562,15742
2020-4-26,326513,7951
2020-4-27,332148,5635
2020-4-28,349729,17581
2020-4-29,367121,17392
2020-4-30,387009,19888
2020-5-1,407048,20039
2020-5-2,427179,20131
2020-5-3,438039,10860
2020-5-4,444795,6756
2020-5-5,468734,23939
2020-5-6,491208,22474
2020-5-7,513636,22428
2020-5-8,536990,23354
2020-5-9,560009,23019
2020-5-10,572676,12667
2020-5-11,578783,6107
2020-5-12,603496,24713
2020-5-13,629248,25752
2020-5-14,656475,27227
2020-5-15,681647,25172
2020-5-16,708369,26722
2020-5-17,722431,14062
2020-5-18,734211,11780
2020-5-19,771154,36943
2020-5-20,804997,33843
2020-5-21,838363,33366
2020-5-22,873595,35232
2020-5-23,918459,44864
2020-5-24,940920,22461
2020-5-25,965813,24893
2020-5-26,981906,16093
2020-5-27,1022953,41047
2020-5-28,1061939,38986
2020-5-29,1096624,34685
2020-5-30,1136471,39847
2020-5-31,1156118,19647
2020-6-1,1172029,15911
2020-6-2,1206312,34283
2020-6-3,1249149,42837
2020-6-4,1287471,38322
2020-6-5,1330184,42713
2020-6-6,1357322,27138
2020-6-7,1372555,15233
2020-6-8,1382554,9999
2020-6-9,1412482,29928
2020-6-10,1447439,34957
2020-6-11,1488341,40902
2020-6-12,1530984,42643
2020-6-13,1571691,40707
2020-6-14,1595656,23965
2020-6-15,1610578,14922
2020-6-16,1654220,43642
2020-6-17,1706863,52643
2020-6-18,1756875,50012
2020-6-19,1801837,44962
2020-6-20,1852185,50348
2020-6-21,1882895,30710
2020-6-22,1899887,16992
2020-6-23,1947172,47285
2020-6-24,2010862,63690
2020-6-25,2083756,72894
2020-6-26,2161616,77860
2020-6-27,2247759,86143
2020-6-28,2296734,48975
2020-6-29,2327280,30546
2020-6-30,2418365,91085
2020-7-1,2513377,95012
2020-7-2,2598480,85103
2020-7-3,2684650,86170
2020-7-4,2745477,60827
2020-7-5,2766598,21121
2020-7-6,2799179,32581
2020-7-7,2884022,84843
2020-7-8,2976307,92285
2020-7-9,3070305,93998
2020-7-10,3161709,91404
2020-7-11,3248286,86577
2020-7-12,3296431,48145
2020-7-13,3327849,31418
2020-7-14,3415107,87258
2020-7-15,3508722,93615
2020-7-16,3593014,84292
2020-7-17,3669825,76811
2020-7-18,3736854,67029
2020-7-19,3774010,37156
2020-7-20,3795340,21330
2020-7-21,3863650,68310
2020-7-22,3927752,64102
2020-7-23,3989546,61794
2020-7-24,4055305,65759
2020-7-25,4116404,61099
2020-7-26,4139018,22614
2020-7-27,4154831,15813
2020-7-28,4214784,59953
2020-7-29,4269383,54599
2020-7-30,4325751,56368
2020-7-31,4378842,53091
2020-8-1,4425640,46798
2020-8-2,4445763,20123
2020-8-3,4461346,15583
2020-8-4,4515345,53999
2020-8-5,4565570,50225
2020-8-6,4606787,41217
2020-8-7,4645676,38889
2020-8-8,4682867,37191
2020-8-9,4704040,21173
2020-8-10,4718470,14430
2020-8-11,4760548,42078
2020-8-12,4803143,42595
2020-8-13,4842489,39346
2020-8-14,4883660,41171
2020-8-15,4925854,42194
2020-8-16,4947557,21703
2020-8-17,4963879,16322
2020-8-18,5013293,49414
2020-8-19,5060586,47293
2020-8-20,5106486,45900
2020-8-21,5155070,48584
2020-8-22,5199087,44017
2020-8-23,5217075,17988
2020-8-24,5231745,14670
2020-8-25,5278928,47183
2020-8-26,5326031,47103
2020-8-27,5369221,43190
2020-8-28,5404139,34918
2020-8-29,5445212,41073
2020-8-30,5465555,20343
2020-8-31,5478370,12815
2020-9-1,5524215,45845
2020-9-2,5566467,42252
2020-9-3,5607366,40899
2020-9-4,5649576,42210
2020-9-5,5689731,40155
2020-9-6,5710148,20417
2020-9-7,5723646,13498
2020-9-8,5736581,12935
2020-9-9,5779029,42448
2020-9-10,5814780,35751
2020-9-11,5851006,36226
2020-9-12,5887121,36115
2020-9-13,5902098,14977
2020-9-14,5911809,9711
2020-9-15,5951192,39383
2020-9-16,5992779,41587
2020-9-17,6036115,43336
2020-9-18,6090191,54076
2020-9-19,6141184,50993
2020-9-20,6163931,22747
2020-9-21,6178723,14792
2020-9-22,6234103,55380
2020-9-23,6287192,53089
2020-9-24,6341954,54762
2020-9-25,6397755,55801
2020-9-26,6446270,48515
2020-9-27,6470128,23858
2020-9-28,6486587,16459
2020-9-29,6544585,57998
2020-9-30,6598829,54244
2020-10-1,6648792,49963
2020-10-2,6699098,50306
2020-10-3,6755155,56057
2020-10-4,6782763,27608
2020-10-5,6802887,20124
2020-10-6,6872748,69861
2020-10-7,6941652,68904
2020-10-8,7010194,68542
2020-10-9,7075406,65212
2020-10-10,7136901,61495
2020-10-11,7170740,33839
2020-10-12,7191773,21033
2020-10-13,7266042,74269
2020-10-14,7342121,76079
2020-10-15,7412503,70382
2020-10-16,7480885,68382
2020-10-17,7546873,65988
2020-10-18,7579232,32359
2020-10-19,7603161,23929
2020-10-20,7687050,83889
2020-10-21,7769909,82859
2020-10-22,7851327,81418
2020-10-23,7930083,78756
2020-10-24,7999540,69457
2020-10-25,8036693,37153
2020-10-26,8063288,26595
2020-10-27,8150614,87326
2020-10-28,8237976,87362
2020-10-29,8318780,80804
2020-10-30,8400469,81689
2020-10-31,8479525,79056
2020-11-1,8517903,38378
2020-11-2,8544966,27063
2020-11-3,8642256,97290
2020-11-4,8738595,96339
2020-11-5,8832378,93783
2020-11-6,8927838,95460
2020-11-7,9018901,91063
2020-11-8,9070609,51708
2020-11-9,9105265,34656
2020-11-10,9221116,115851
2020-11-11,9331358,110242
2020-11-12,9428176,96818
2020-11-13,9522382,94206
2020-11-14,9619110,96728
2020-11-15,9674671,55561
2020-11-16,9713014,38343
2020-11-17,9830508,117494
2020-11-18,9946885,116377
2020-11-19,10063998,117113
2020-11-20,10183075,119077
2020-11-21,10304388,121313
2020-11-22,10379931,75543
2020-11-23,10435105,55174
2020-11-24,10582812,147707
2020-11-25,10713546,130734
2020-11-26,10828247,114701
2020-11-27,10840889,12642
2020-11-28,10912638,71749
2020-11-29,10965870,53232
2020-11-30,11010874,45004
2020-12-1,11145908,135034
2020-12-2,11267531,121623
2020-12-3,11383907,116376
2020-12-4,11497555,113648
2020-12-5,11607013,109458
2020-12-6,11664799,57786
2020-12-7,11704609,39810
2020-12-8,11821902,117293
2020-12-9,11903307,81405
2020-12-10,11939315,36008
2020-12-11,11945998,6683
2020-12-12,11946323,325
2020-12-13,12029012,82689
2020-12-14,12163943,134931
2020-12-15,12283212,119269
2020-12-16,12360309,77097
2020-12-17,12444012,83703
2020-12-18,12532344,88332
2020-12-19,12569510,37166
2020-12-20,12680767,111257
2020-12-21,12825700,144933
2020-12-22,12948343,122643
2020-12-23,13021855,73512
2020-12-24,13136700,114845
2020-12-25,13250571,113871
2020-12-26,13367338,116767
2020-12-27,13456336,88998
2020-12-28,13516243,59907
2020-12-29,13591767,75524
2020-12-30,13661613,69846
2020-12-31,13742979,81366
2021-1-1,13848790,105811
2021-1-2,14005637,156847
2021-1-3,14053710,48073
2021-1-4,14189167,135457
2021-1-5,14289877,100710
2021-1-6,14370153,80276
2021-1-7,14445909,75756
2021-1-8,14532743,86834
2021-1-9,14653811,121068
2021-1-10,14791044,137233
2021-1-11,14939305,148261
2021-1-12,15031531,92226
2021-1-13,15179088,147557
2021-1-14,15304459,125371
2021-1-15,15443899,139440
2021-1-16,15584254,140355
2021-1-17,15718021,133767
2021-1-18,15877679,159658
2021-1-19,15935036,57357
2021-1-20,16076028,140992
2021-1-21,16202370,126342
2021-1-22,16321080,118710
2021-1-23,16405627,84547
2021-1-24,16561140,155513
2021-1-25,16629666,68526
2021-1-26,16738158,108492
2021-1-27,16837794,99636
2021-1-28,16949139,111345
2021-1-29,17073934,124795
2021-1-30,17263046,189112
2021-1-31,17399120,136074
2021-2-1,17504358,105238
2021-2-2,17605821,101463
2021-2-3,17694874,89053
2021-2-4,17846886,152012
2021-2-5,17922915,76029
2021-2-6,18034823,111908
2021-2-7,18072290,37467
2021-2-8,18220770,148480
2021-2-9,18301672,80902
2021-2-10,18414867,113195
2021-2-11,18506265,91398
2021-2-12,18605754,99489
2021-2-13,18700767,95013
2021-2-14,18810731,109964
2021-2-15,18810731,0
2021-2-16,18810731,0
2021-2-17,18810731,0
2021-2-18,18810731,0
2021-2-19,19212601,401870
2021-2-20,19127832,0
2021-2-21,19165851,38019
2021-2-22,19199117,33266
2021-2-23,19242281,43164
2021-2-24,19303921,61640
2021-2-25,19357913,53992
2021-2-26,19426513,68600
2021-2-27,19488683,62170
2021-2-28,19557682,68999
2021-3-1,19595211,37529
2021-3-2,19643058,47847
2021-3-3,19707655,64597
2021-3-4,19764177,56522
2021-3-5,19820052,55875
2021-3-6,19831344,11292
2021-3-7,19907384,76040
